subject_id,trial_id,task,fold,bin_start,bin_end,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,n_classes,n_train,n_test,n_features_post_norm,normalization,fold_seconds,cell,eval,ref_kind,view_kind,f0_hz,cap_hz,octave_step,half_bw
1,2,volume,0,-0.0,1.0,1.0,0.7462857142857143,1.0,0.8206691535270577,2,1750,875,153000,per_session_robust_mad_cf,24.99501395225525,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,volume,1,-0.0,1.0,1.0,0.7828571428571428,1.0,0.8544611976636052,2,1750,875,153000,per_session_robust_mad_cf,22.67798686027527,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,delta_volume,0,-0.0,1.0,1.0,0.7074285714285714,1.0,0.7842962080603535,2,1750,875,153000,per_session_robust_mad_cf,25.697428226470947,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,delta_volume,1,-0.0,1.0,1.0,0.712,1.0,0.7912029925916639,2,1750,875,153000,per_session_robust_mad_cf,24.86627602577209,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,pitch,0,-0.0,1.0,1.0,0.6171428571428571,1.0,0.6569491029539303,2,1750,875,153000,per_session_robust_mad_cf,27.60152769088745,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,pitch,1,-0.0,1.0,1.0,0.5954285714285714,1.0,0.6382036090822649,2,1750,875,153000,per_session_robust_mad_cf,28.17411756515503,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,word_index,0,-0.0,1.0,1.0,0.5784313725490197,1.0,0.6038292964244522,2,1020,510,153000,per_session_robust_mad_cf,12.59207797050476,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,word_index,1,-0.0,1.0,1.0,0.5941176470588235,1.0,0.6272664359861592,2,1020,510,153000,per_session_robust_mad_cf,13.604522228240969,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,word_gap,0,-0.0,1.0,1.0,0.5346420323325635,1.0,0.5770098512446064,2,1732,866,153000,per_session_robust_mad_cf,26.91382145881653,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,word_gap,1,-0.0,1.0,1.0,0.5519630484988453,1.0,0.5759217874115282,2,1732,866,153000,per_session_robust_mad_cf,24.338643550872803,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,gpt2_surprisal,0,-0.0,1.0,1.0,0.576,1.0,0.6144008024826808,2,1750,875,153000,per_session_robust_mad_cf,23.11209464073181,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,gpt2_surprisal,1,-0.0,1.0,1.0,0.5725714285714286,1.0,0.6153203138877569,2,1750,875,153000,per_session_robust_mad_cf,21.88298892974853,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,word_head_pos,0,-0.0,1.0,1.0,0.592,1.0,0.6333970721920943,2,1750,875,153000,per_session_robust_mad_cf,23.33287501335144,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,word_head_pos,1,-0.0,1.0,1.0,0.6251428571428571,1.0,0.6499639509733237,2,1750,875,153000,per_session_robust_mad_cf,26.15301203727722,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,word_part_speech,0,-0.0,1.0,1.0,0.6021505376344086,1.0,0.6265335748512995,2,1115,558,153000,per_session_robust_mad_cf,17.487581253051758,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
