subject_id,trial_id,task,fold,bin_start,bin_end,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,n_classes,n_train,n_test,n_features_post_norm,normalization,fold_seconds,cell,report_dir
1,1,speech,0,0.0,1.0,1.0,0.6154285714285714,1.0,0.6586086530612245,2,3500,1750,245760,train_set_fixed,595.9242405891418,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,volume,0,0.0,1.0,1.0,0.3813607775871926,1.0,0.5499680287780225,3,3498,1749,245760,train_set_fixed,681.6128392219543,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,delta_volume,0,0.0,1.0,1.0,0.4219554030874786,1.0,0.5939473377092717,3,3498,1749,245760,train_set_fixed,619.6735513210297,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,pitch,0,0.0,1.0,1.0,0.3276157804459691,1.0,0.4968793733640492,3,3498,1749,245760,train_set_fixed,628.5429961681366,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,word_index,0,0.0,1.0,1.0,0.3856733524355301,1.0,0.5584776802198858,3,3060,1745,245760,train_set_fixed,649.1928915977478,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,word_gap,0,0.0,1.0,1.0,0.3396226415094339,1.0,0.5052637282563818,3,3498,1749,245760,train_set_fixed,635.6121921539307,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,gpt2_surprisal,0,0.0,1.0,1.0,0.3224699828473413,1.0,0.4803048446208418,3,3498,1749,245760,train_set_fixed,725.8926365375519,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,word_head_pos,0,0.0,1.0,1.0,0.5017142857142857,1.0,0.5220496326530613,2,3500,1750,245760,train_set_fixed,640.815642118454,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,word_part_speech,0,0.0,1.0,1.0,0.1756835369400814,1.0,0.5103701907984641,6,2760,1719,245760,train_set_fixed,502.6757428646088,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,word_length,0,0.0,1.0,1.0,0.3276157804459691,1.0,0.4937155953855523,3,3498,1749,245760,train_set_fixed,628.8733966350555,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,global_flow,0,0.0,1.0,1.0,0.3133218982275586,1.0,0.4876395921413559,3,3498,1749,245760,train_set_fixed,594.8944516181946,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,local_flow,0,0.0,1.0,1.0,0.335620354488279,1.0,0.5016723597017458,3,3498,1749,245760,train_set_fixed,668.810268163681,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,frame_brightness,0,0.0,1.0,1.0,0.3339050886220697,1.0,0.4996883786569537,3,3498,1749,245760,train_set_fixed,740.3151962757111,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,1,face_num,0,0.0,1.0,1.0,0.3527730131503716,1.0,0.5209465443129964,3,3498,1749,245760,train_set_fixed,847.4545373916626,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
1,2,onset,0,0.0,1.0,1.0,0.5528120713305898,1.0,0.5854097632662892,2,3134,1458,245760,train_set_fixed,682.1892347335815,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,speech,0,0.0,1.0,1.0,0.6388571428571429,1.0,0.681085387755102,2,3500,1750,245760,train_set_fixed,599.2457139492035,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,volume,0,0.0,1.0,1.0,0.3579188107489994,1.0,0.5342837416529121,3,3498,1749,245760,train_set_fixed,687.6433868408203,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,delta_volume,0,0.0,1.0,1.0,0.3945111492281303,1.0,0.5704367210079369,3,3498,1749,245760,train_set_fixed,630.1656153202057,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,pitch,0,0.0,1.0,1.0,0.3196112064036592,1.0,0.4927142880960156,3,3498,1749,245760,train_set_fixed,648.0197401046753,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,word_index,0,0.0,1.0,1.0,0.3647058823529411,1.0,0.5449051646802512,3,3489,1530,245760,train_set_fixed,692.9520552158356,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,word_gap,0,0.0,1.0,1.0,0.346483704974271,1.0,0.5085454368926325,3,3498,1749,245760,train_set_fixed,657.41943526268,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,gpt2_surprisal,0,0.0,1.0,1.0,0.3304745568896512,1.0,0.4986995754496321,3,3498,1749,245760,train_set_fixed,756.767982006073,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,word_head_pos,0,0.0,1.0,1.0,0.5217142857142857,1.0,0.5307209795918367,2,3500,1750,245760,train_set_fixed,615.8477880954742,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,word_part_speech,0,0.0,1.0,1.0,0.1644927536231884,1.0,0.4995916824196598,6,3438,1380,245760,train_set_fixed,564.6911897659302,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,word_length,0,0.0,1.0,1.0,0.3430531732418524,1.0,0.504002287021155,3,3498,1749,245760,train_set_fixed,636.5646524429321,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,global_flow,0,0.0,1.0,1.0,0.324757004002287,1.0,0.4960845060201027,3,3498,1749,245760,train_set_fixed,604.6852293014526,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,local_flow,0,0.0,1.0,1.0,0.3459119496855345,1.0,0.5144069093145115,3,3498,1749,245760,train_set_fixed,714.5187351703644,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,frame_brightness,0,0.0,1.0,1.0,0.3156089193825043,1.0,0.4934005415493489,3,3498,1749,245760,train_set_fixed,786.8419125080109,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
1,2,face_num,0,0.0,1.0,1.0,0.3379073756432247,1.0,0.5114789926515225,3,3498,1749,245760,train_set_fixed,742.5290067195892,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial2
2,0,onset,0,0.0,1.0,0.9996657754010696,0.6798479087452471,0.9999906166890676,0.7580909124555291,2,2992,1315,243712,train_set_fixed,643.7758493423462,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,speech,0,0.0,1.0,1.0,0.5954285714285714,1.0,0.6519477551020408,2,3500,1750,243712,train_set_fixed,610.3125,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,volume,0,0.0,1.0,1.0,0.3333333333333333,1.0,0.4958329533073052,3,3498,1749,243712,train_set_fixed,720.6299645900726,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,delta_volume,0,0.0,1.0,1.0,0.4276729559748428,1.0,0.6006870380231978,3,3498,1749,243712,train_set_fixed,653.083233833313,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,pitch,0,0.0,1.0,1.0,0.3321898227558605,1.0,0.4972432176386998,3,3498,1749,243712,train_set_fixed,669.5143251419067,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,word_index,0,0.0,1.0,1.0,0.4989532449406839,1.0,0.6831812737116207,3,3192,1433,243712,train_set_fixed,625.3029654026031,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,word_gap,0,0.0,1.0,1.0,0.3556763285024155,1.0,0.5199185110796051,3,3498,1656,243712,train_set_fixed,676.0210864543915,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,gpt2_surprisal,0,0.0,1.0,1.0,0.3847913093196112,1.0,0.547802370773988,3,3498,1749,243712,train_set_fixed,804.1673665046692,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,word_head_pos,0,0.0,1.0,1.0,0.5382857142857143,1.0,0.5507702857142858,2,3500,1750,243712,train_set_fixed,643.0101947784424,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,word_part_speech,0,0.0,1.0,1.0,0.1648550724637681,1.0,0.5178501102709515,6,2346,1104,243712,train_set_fixed,403.14183807373047,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,word_length,0,0.0,1.0,1.0,0.3516295025728988,1.0,0.5141166184646556,3,3498,1749,243712,train_set_fixed,683.9941065311432,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,global_flow,0,0.0,1.0,1.0,0.353344768439108,1.0,0.5333383349662194,3,3498,1749,243712,train_set_fixed,647.1591029167175,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,local_flow,0,0.0,1.0,1.0,0.3396226415094339,1.0,0.5038377725276978,3,3498,1749,243712,train_set_fixed,760.5272810459137,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,0,frame_brightness,0,0.0,1.0,1.0,0.3384791309319611,1.0,0.5042558011586136,3,3498,1749,243712,train_set_fixed,848.4066476821899,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
